Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
45,5,0,1.9772347806619095,0.9370406494614824,12.56500029421032,1.6914057581277566,2.0565587107354446,2.0653593089999167,2.3016978279419416,1.6805695214169305,3.221289909283366,2.182144318648954
46,5,0,1.0281773646283405,1.106148997849926,2.0523299692967183,1.7153953960934711,2.3755726590704067,2.5530045354240283,2.3253027808562523,2.120430491503756,2.2306827055792695,2.908417855301041
73,5,0,1.0261945457736819,0.9213211892195479,1.938330623844634,1.6896235398807153,2.45009814518913,2.0787423159066782,3.124289725672933,2.0371760419758007,4.125970713571925,4.1827112461541205
81,7,0,1.7111884173608545,4.134386882068714,2.1314047979129596,1.8978992038310478,2.3795945106000804,6.885196294763508,3.9217889598321247,10.053259944936851,9.620049778767847,27.730643912456834
82,7,0,1.2899107609677385,1.1780756636611915,1.816004014798998,1.6169685114343504,2.522477775247126,2.6119277495703668,1.8359819575244538,1.8077242481430795,4.267863362732182,5.776543906680555
83,7,0,1.9356407710308443,2.4934202133973007,10.356802592072643,7.8803948255155785,2.4779636314160833,6.024506172038153,3.160158398658197,2.1423840054644665,4.237519782161259,2.1802216682566162
88,9,0,2.9094902151015964,26.134779176267912,2.799733566168259,3.4376917241631606,10.126590371114759,125.43576639596729,4.117529062460231,6.672305756040538,4.39803212542303,6.625319368805009
90,9,0,12.72049495080479,18.945827485005214,4.441394747936845,3.519998416407278,20.198373767133038,38.47931392206525,15.1746609123589,9.16004172128508,44.82997655468931,17.976411939088408
91,9,1,1.2907546475507543,1.2318977752979556,1.876761600117436,1.740805299147915,2.942581102656484,2.0917229240629966,3.725726771671968,4.184044777152577,1.943158919958016,2.7496648785369593
98,7,2,2.6806026654617705,2.2227946556303952,12.343383185185361,14.210943435120035,2.5695964420207695,3.3883835127915822,3.782667949362048,2.119818010106095,2.9240338712883513,2.27569950061289
99,7,2,1.1507437075662026,1.41536959190377,1.6430790633717465,1.5180880256431486,1.804082251711643,2.024139987672328,1.791022813606758,1.9263182252062028,4.908263076846789,3.5616509156975003
100,7,1,4.1335549192809005,1.2471698952944268,15.008383127978949,1.726399846541677,5.879109632792206,2.272662267842158,3.222673075959295,1.7809731972528653,4.364682149090146,3.4524973742233933
105,9,1,1.0457205431041046,0.8899852187350997,1.782292183035714,1.4929588625702157,2.090825156189709,2.0599870111414966,1.8111022390189782,1.9206261878245197,2.5876104164780966,2.4347773613416654
106,9,3,2.5976621348343993,3.4370677337003004,2.4286162554508977,2.13981185345598,7.179710199594855,10.669214535783139,7.633558885019032,6.323347179639818,7.349893957405946,7.612022651863827
107,9,0,2.3478556916745976,2.9369399048364557,2.1187402261956745,1.916517490830259,3.2017609007433556,8.684235908479732,1.8454723687601706,2.33132516176752,2.4393841035757107,3.2862327337218527
108,9,1,1.0906931365627928,0.9380475577682748,1.9731553724417963,2.1264875487458514,1.88165766505893,2.1935272030382644,1.6927386316597939,2.00023462577778,1.902665375385161,2.4143010354965235
116,7,2,4.582252194727363,4.159372881219008,5.3279258453596485,8.793636157715548,11.43333926407446,7.8169709368793105,4.542600714146569,2.1771840411348804,5.737690075096198,2.587580486511082
119,7,1,1.545895593197025,2.2137858962543766,2.7255895795355682,2.3094969450463343,3.886146757667811,4.845248149160418,2.746420392448908,2.175932897037747,5.831866462744232,3.2670941115948713
125,9,3,1.6223904823266677,1.1029981038625576,1.8458974667596313,1.331325792367294,3.272411641506078,1.9202139323725431,3.7340188587641787,2.4832338291462603,12.85564969971831,5.578390230568254
126,9,3,1.3098806689239881,1.020506150743997,1.9810781487945028,1.7846392052053777,2.172225800721355,1.9784465530968627,3.437565464760415,2.1354096953854347,5.559939659321031,2.631151864599358
135,12,2,0.8985157688418277,0.8522954755240639,1.7643307169453877,1.6986872684147423,1.7845429756657412,1.9748493683100505,1.7450164612772676,1.857416510643442,1.8077253016095016,1.7074766811918456
136,12,2,1.32199615173702,0.918719277338409,3.24368450759663,1.7877689667234486,1.876721433812756,1.7920224630456134,2.7331164435646134,1.9773535619977767,2.2649897673940074,2.0517489349914264
138,7,1,1.2615906228296425,1.0733406262079608,1.6162675200725913,1.8175125445731362,2.9910372978449407,2.5079042095135424,2.266198084116723,2.878354429471477,23.92143247315511,38.252095636488676
155,12,2,3.2739067446421637,2.75962378324439,6.328471435030194,14.980380519862653,3.1399681561042865,2.695900971251257,3.7842807848352047,4.338829670853315,13.913478679141868,6.4071502531949935
156,12,3,1.0735029849483633,1.0180575321240684,1.8040460445159185,2.0922026406192837,2.0419790994470723,2.4248153689568235,1.89665085482601,2.0653278466341973,2.087044565496524,2.4538354046828137
157,12,3,1.014046627518619,0.9059723162819531,2.0853077149320316,1.6647533338119846,2.1511932438601944,2.1874866497519525,2.213470583981549,1.977297270815687,2.1144363454628126,4.5831291462568915
158,12,3,1.367564086700132,68.70568868082877,3.3336661005906847,149.05367440937948,3.8740947790628897,62.76655042944744,2.920918425092699,100.73054653796613,3.458494732703637,198.12140822204142
176,12,0,0.8810307404434339,0.8286789271187137,1.9095489481617813,1.9406463868995174,1.8440210107009485,2.0067053597465065,1.8053605874981264,1.8687656645269555,2.145810456918497,2.0002665270903828
177,12,0,1.6270505856850437,75.03532453657076,2.0221994091933126,239.2537335932535,3.650937837577403,163.45730891381598,1.870903564717483,130.82807943404748,2.6868539955100945,112.46946916904238
178,12,0,1.033063956557262,0.9128035428302411,2.070011177851047,1.5836340928144688,2.388518455311164,1.9730878667308491,2.1685605115984945,2.0646807534883806,2.112096586596211,2.1056533581111188
179,12,1,1.108137182709186,0.821211502686162,1.7213427901592582,2.0297126559015077,2.3737065952041645,2.0851804978271637,3.895883384642666,2.640575586104695,2.4911966530810816,2.8057640305394727
