,Ant,Node,A Priori Status,Auto Metrics Flags,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score
0,3,1,digital_ok,0.0,,,,,,,,
1,4,1,RF_maintenance,0.0,,,,,,,,
2,5,1,digital_ok,0.0,,,,,,,,
3,15,1,digital_ok,0.0,,,,,,,,
4,16,1,digital_ok,0.0,,,,,,,,
5,17,1,digital_ok,0.0,,,,,,,,
6,18,1,RF_maintenance,0.0,,,,,,,,
7,27,1,RF_maintenance,0.0,,,,,,,,
8,28,1,RF_maintenance,0.0,,,,,,,,
9,29,1,digital_ok,0.0,,,,,,,,
10,30,1,RF_maintenance,0.0,,,,,,,,
11,45,5,RF_maintenance,0.0,,,,,,,,
12,46,5,digital_ok,0.0,,,,,,,,
13,73,5,RF_maintenance,0.0,,,,,,,,
14,84,8,RF_maintenance,0.0,,,,,,,,
15,87,8,digital_ok,0.0,,,,,,,,
16,92,10,digital_ok,0.0,,,,,,,,
17,93,10,RF_maintenance,0.0,,,,,,,,
18,94,10,RF_maintenance,0.0,,,,,,,,
19,101,8,RF_maintenance,0.0,,,,,,,,
20,103,8,digital_ok,0.0,,,,,,,,
21,104,8,digital_ok,0.0,,,,,,,,
22,109,10,digital_ok,0.0,,,,,,,,
23,110,10,RF_maintenance,0.0,,,,,,,,
24,111,10,digital_ok,0.0,,,,,,,,
25,112,10,RF_maintenance,0.0,,,,,,,,
26,120,8,digital_ok,0.0,,,,,,,,
27,121,8,RF_maintenance,0.0,,,,,,,,
28,122,8,digital_maintenance,0.0,,,,,,,,
29,123,8,RF_maintenance,0.0,,,,,,,,
30,127,10,RF_maintenance,0.0,,,,,,,,
31,128,10,digital_ok,0.0,,,,,,,,
32,129,10,digital_ok,0.0,,,,,,,,
33,130,10,digital_maintenance,0.0,,,,,,,,
