,Ant,Node,A Priori Status,Auto Metrics Flags,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score
0,3,1,digital_ok,1.0,,,,,,,,
1,4,1,RF_maintenance,1.0,,,,,,,,
2,5,1,digital_ok,1.0,,,,,,,,
3,15,1,digital_ok,1.0,,,,,,,,
4,16,1,digital_ok,1.0,,,,,,,,
5,17,1,digital_ok,1.0,,,,,,,,
6,18,1,RF_maintenance,1.0,,,,,,,,
7,27,1,RF_maintenance,1.0,,,,,,,,
8,28,1,RF_maintenance,1.0,,,,,,,,
9,29,1,digital_ok,1.0,,,,,,,,
10,30,1,RF_maintenance,1.0,,,,,,,,
11,45,5,RF_maintenance,0.0,,,,,,,,
12,46,5,digital_ok,0.0,,,,,,,,
13,73,5,RF_maintenance,0.0,,,,,,,,
14,81,7,digital_ok,0.0,,,,,,,,
15,82,7,RF_maintenance,0.0,,,,,,,,
16,83,7,digital_ok,0.0,,,,,,,,
17,84,8,RF_maintenance,1.0,,,,,,,,
18,85,8,digital_ok,1.0,,,,,,,,
19,86,8,RF_maintenance,1.0,,,,,,,,
20,87,8,digital_ok,1.0,,,,,,,,
21,88,9,digital_ok,0.0,,,,,,,,
22,89,9,RF_maintenance,0.0,,,,,,,,
23,90,9,RF_maintenance,0.0,,,,,,,,
24,91,9,digital_ok,0.0,,,,,,,,
25,92,10,digital_ok,0.0,,,,,,,,
26,93,10,RF_maintenance,1.0,,,,,,,,
27,94,10,RF_maintenance,0.0,,,,,,,,
28,98,7,digital_maintenance,0.0,,,,,,,,
29,99,7,digital_ok,0.0,,,,,,,,
30,100,7,RF_maintenance,0.0,,,,,,,,
31,101,8,RF_maintenance,1.0,,,,,,,,
32,102,8,digital_ok,1.0,,,,,,,,
33,103,8,digital_ok,1.0,,,,,,,,
34,104,8,digital_ok,1.0,,,,,,,,
35,105,9,digital_ok,0.0,,,,,,,,
36,106,9,digital_ok,0.0,,,,,,,,
37,107,9,digital_ok,0.0,,,,,,,,
38,108,9,digital_ok,0.0,,,,,,,,
39,109,10,digital_ok,1.0,,,,,,,,
40,110,10,RF_maintenance,0.0,,,,,,,,
41,111,10,digital_ok,0.0,,,,,,,,
42,112,10,RF_maintenance,0.0,,,,,,,,
43,116,7,RF_maintenance,0.0,,,,,,,,
44,119,7,RF_maintenance,1.0,,,,,,,,
45,120,8,digital_ok,1.0,,,,,,,,
46,121,8,RF_maintenance,1.0,,,,,,,,
47,122,8,digital_maintenance,1.0,,,,,,,,
48,123,8,RF_maintenance,0.0,,,,,,,,
49,124,9,digital_ok,0.0,,,,,,,,
50,125,9,RF_maintenance,0.0,,,,,,,,
51,126,9,RF_maintenance,0.0,,,,,,,,
52,127,10,RF_maintenance,0.0,,,,,,,,
53,128,10,digital_ok,0.0,,,,,,,,
54,129,10,digital_ok,0.0,,,,,,,,
55,130,10,digital_maintenance,0.0,,,,,,,,
56,135,12,digital_ok,0.0,,,,,,,,
57,136,12,RF_maintenance,0.0,,,,,,,,
58,138,7,digital_ok,1.0,,,,,,,,
59,143,14,RF_maintenance,0.0,,,,,,,,
60,144,14,RF_maintenance,0.0,,,,,,,,
61,145,14,digital_ok,0.0,,,,,,,,
62,155,12,RF_maintenance,0.0,,,,,,,,
63,156,12,RF_maintenance,0.0,,,,,,,,
64,157,12,RF_maintenance,0.0,,,,,,,,
65,158,12,RF_maintenance,0.0,,,,,,,,
66,163,14,digital_ok,0.0,,,,,,,,
67,164,14,digital_ok,0.0,,,,,,,,
68,165,14,digital_ok,1.0,,,,,,,,
69,166,14,RF_maintenance,1.0,,,,,,,,
70,176,12,digital_ok,0.0,,,,,,,,
71,177,12,digital_ok,0.0,,,,,,,,
72,178,12,digital_ok,1.0,,,,,,,,
73,179,12,digital_ok,0.0,,,,,,,,
74,184,14,RF_maintenance,1.0,,,,,,,,
75,185,14,digital_ok,0.0,,,,,,,,
76,186,14,digital_ok,0.0,,,,,,,,
77,187,14,RF_maintenance,0.0,,,,,,,,
