,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,45,5,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,0.41200131191018924,19.93265870113134,-1.067369560606302,43.21512435819552,-0.07610333087724738,28.325318910119645,-0.8407693645229173,8.756647733621167,0.6886223729130839,0.11215089226748924,0.34732894971325007,0.0,0.0
1,46,5,digital_ok,1.0,0.026881720430107527,0.22043010752688172,0.0,1.0,0.0,8.718192026703747,7.283027505131885,9.51288774248105,8.352653755520162,31.65541413731489,37.25634874020211,35.536013850401815,59.757387615806834,0.4653021003012223,0.4241633344005282,0.21897742020194427,0.0,0.0
2,73,5,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,0.4994688438387416,0.0905127276523408,0.13193435750234664,-0.8690688125271386,3.4448204079623803,2.7692318479691975,0.8692670157928992,-0.6199571243186034,0.6956349618379021,0.7167163484352401,0.31859530804113584,0.0,0.0
3,81,7,digital_ok,0.0,0.0,0.0,0.0,1.0,0.0,-0.23987155466555232,-0.5317895408711114,-0.6807537316674399,-0.27949439068913323,-0.5680175481626143,0.3694386001402414,-1.2170066532127615,-0.4963933068726091,0.6915481294994293,0.6835722204243244,0.29128173477187935,0.0,0.0
4,82,7,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,3.8752011171450476,1.2545351929958783,-0.8051197096306365,-0.41422575685252644,0.473663992139972,-0.735213439429776,2.253713049376722,-0.0018201207472162263,0.6931207007148845,0.695244265061307,0.28789148057336633,0.0,0.0
5,83,7,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,17.33185694263869,20.084825023822575,38.718564525569505,39.99576409248187,24.386261231297834,29.117112367019573,10.040652223177936,10.013301464612722,0.05490772542616588,0.06580727410409346,0.002481492006201543,0.0,0.0
6,88,9,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,-0.23711352547927161,1.7083261689659925,6.720158404216865,3.0319317911126835,-0.28111960535714436,1.0990940822792066,0.7547672575324995,0.6464127217026601,0.18147550638495402,0.2272874432554635,0.03479237306442114,inf,inf
7,90,9,RF_maintenance,0.0,1.0,1.0,0.0,1.0,0.0,1.8242620544937913,-0.33447379078479517,2.3404155227301233,-0.3712790814100374,3.329380805809872,1.566753489116146,3.3413027307821217,1.6314964823671512,0.1461154657906079,0.1110984757566971,0.015855578891401923,1.8432501017393564e-15,1.1261110863146015e-15
8,91,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.6710854518775906,-0.7262049163025441,-0.6960757710880876,1.5640504687089793,-0.594740163633088,-0.61272812416925,-0.7681221249266225,0.4006679322297987,0.1673825688244394,0.10620071663585355,0.02247679988370392,3.833821930842244e-16,5.211294504412422e-16
9,92,10,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.7219116147893926,0.9682264444279667,0.476584636105179,0.29269915558275594,-0.4352131742721379,-1.6023762198913627,1.0045674391275385,0.11164807442752404,0.7188173682313471,0.7296502575726451,0.294201597796012,0.017753425054252148,0.018072479870170355
