,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,3,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.7544952221672839,-1.2415773857225099,0.03519276087818547,0.4896474542684603,-0.7807234537544094,0.8345383918536253,-0.7392106717967273,0.6090915238338459,0.12984959262279142,0.12151991909145034,0.027521658957415946,0.0,0.0
1,4,1,RF_maintenance,0.0,1.0,1.0,0.0,1.0,0.0,0.9479444322468222,2.4877564113553694,-0.8405954335919623,-0.5040839757120965,0.6353643996798694,-0.5295363989205722,-0.19181385079458316,2.439691043274776,0.09172465940085917,0.07644938257631653,0.008626196278101796,0.0,0.0
2,5,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-1.2051632167798787,-1.5318217762942592,-0.6807220998211913,-0.8201455591806743,-0.34686349020503493,0.07207677803058614,-0.28416896745073045,0.02589982221324344,0.07431904814738093,0.06632748805182308,0.005232607796122398,0.0,0.0
3,15,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,0.5505229484376053,1.1678019785753886,-0.04663104803059639,0.16388682443144353,1.0350989698816635,0.9797340375574739,1.83348072844982,1.2130081392292764,0.09927209710418,0.09119322268487684,0.01052375549206337,0.0,0.0
4,16,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.6459679559243094,-0.6413863888116556,-0.0009009111547452053,-0.9643945863975524,-0.3074222000338602,-0.5006405114093838,-0.12599448657210705,1.6759791839507274,0.06585891382982999,0.06458406130406089,0.004932125305657269,0.0,0.0
5,17,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,0.16147493538125807,1.0830691335822904,-0.01384559011467033,-0.6215870417196289,2.449873547303532,0.1163726678803934,1.2641896148546083,1.0716180139135802,0.08370586514896663,0.07726107880208245,0.008669756396247022,0.0,0.0
6,18,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,0.48581194176519826,7.53851891511487,0.09541961049300077,-0.2092480073270378,-0.25353130555983394,10.959053919062404,-0.1148936875776347,17.805859187691688,0.1259701364656386,0.12659996796110007,0.04492495622921263,0.0,0.0
7,27,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,15.41600517051546,14.82026039667783,38.285969154184016,37.35740419009399,10.546615034672639,28.295555851922636,3.23370481029373,62.42195917186022,0.09081985785420081,0.050272400711380526,0.02951662957849484,0.0,0.0
8,28,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,19.49186340286374,0.691776027728349,1.9098062481310658,0.5079232894713824,38.11609173314581,5.51420402082474,36.90664324465074,1.0898384665328893,0.09753556393011671,0.12700982748372203,-0.009102899035406628,0.0,0.0
9,29,1,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-1.2475539004750358,-0.8255481778103348,-1.0189006796642865,0.2280575574225827,1.1484647477449184,0.03122586025882788,-0.5187789162032009,0.7909812516690924,0.06867189704160427,0.08963316813578658,0.01261585070086996,0.0,0.0
10,30,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,0.5881682710212547,1.2695360700406615,7.252991879175292,9.191483065326347,1.2360408884191745,0.23292616466097657,0.09873544853984845,0.7454465941449774,0.10169505973180129,0.12412580902434384,0.02627196133095938,0.0,0.0
11,45,5,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,0.6482566135468265,17.717428888171046,-0.7893774225593652,38.55965074347683,-0.6579025816842168,6.955897240125785,-0.5746627450945065,0.9444080346991532,0.6381298401383609,0.09323197771681481,0.31485072548899795,0.0,0.0
12,46,5,digital_ok,0.0,0.0,0.0,0.0,1.0,0.0,-0.019310017213721536,-0.6852288606523258,-0.9135992644059333,0.6711490828737507,0.9651222723572943,0.36059668001691736,-0.025899822213243495,0.508295485463638,0.6438324209220619,0.6431322712465273,0.36438722191603135,0.0,0.0
13,73,5,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,0.33537971728537247,-0.026817435969434533,0.8226633978324543,0.38836924449043275,4.671995616679342,2.305051981366364,2.0827630939139574,0.6119245930024743,0.656627629392548,0.6603221359572969,0.3621799752736931,1.0614907500354882e-17,1.1002517511157177e-17
14,81,7,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.13128355298141486,0.27688284954029474,0.0003058881236022217,0.5698217605671017,-0.19885444077277686,0.4567589489189756,2.062584454292514,1.6110401882694585,0.06661866295958364,0.06139116355944107,0.006396228357010074,26.730778694152832,90.0815372467041
15,82,7,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,5.845081398335187,0.7635272856962203,0.3065723314004354,0.27442137220845053,-0.10244109406440638,1.0139297258014408,0.47477555456407616,0.012073998812585963,0.06374846739990263,0.05718296356180258,0.004465152913038988,38.21748161315918,5.416484951972961
16,83,7,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,17.83073592525773,18.624811118625775,35.014855982883404,36.18968254241628,10.496371952010264,7.503792628661961,0.5504851136969169,0.4790225027902025,0.04212037684756894,0.04530626815145832,6.579957356723116e-05,1.3416005969047546,1.3410080075263977
17,84,8,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,2.8071940184996103,-0.2166955069405523,5.722181805133067,8.164928809483879,0.9050760776833384,0.8346940412167588,-1.3787910922903661,-0.09176390965640284,0.6690811465901093,0.6745478196958852,0.3333522277515535,11.590808391571045,11.359852075576782
18,85,8,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.08857291130611955,0.3902507505262707,-0.8287456574333639,0.5121090011266953,-0.9863330790904197,-0.46042053113460546,-0.7289813640002459,-0.4609260098879806,0.6767578417765094,0.6851877356201663,0.3288119189555119,1.2715128660202026,1.3252442181110382
19,86,8,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,-0.6573343764620317,1.9628757161832513,0.7146230502236341,-0.5432379149598167,2.896493889157201,2.3486170948015426,1.4103317105625919,5.704857287861156,0.6792101478359426,0.6918861090536281,0.33155911400635013,13.725666284561157,18.337449550628662
20,87,8,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,0.8070462354031656,0.8840138508515796,2.4566706780813568,2.809318505871402,4.390416863064152,2.357923192697415,5.766304408482983,5.039091294063264,0.6669556853693839,0.6843149742605287,0.33707724387974597,3.922968864440918,4.181771993637085
21,88,9,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,0.285566339494838,2.489349397543837,-0.22515596437967955,1.929142428101013,0.8835098155662469,7.9197670256714,5.133328074988628,12.871037395223446,0.15450423576170244,0.12013166722601334,0.020346561200940548,1.2593297958374023,1.2730232179164886
22,89,9,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,0.23503230450174892,1.4384684117263586,4.34827188573907,-0.7425083556340359,1.8725363850101004,1.4570139129674744,2.0564397942702013,6.1127027772566995,0.11759951554957312,0.10526803991156376,0.010048757420024042,23.79342746734619,35.31280708312988
23,90,9,RF_maintenance,0.0,1.0,1.0,0.0,1.0,0.0,0.7374470697250646,3.0783457705776565,2.8066522805874135,-0.6899789843069019,0.860317066796819,2.4926226446103033,2.190123752017724,0.7289171065479825,0.15683920104778246,0.1565817235737442,0.01744469651214384,19.278512477874756,23.406925678253174
24,91,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.16544934646945894,-0.7769480222865649,-0.0003058881236023913,1.2660829253467965,-1.1403765387116516,-0.9895770160184553,-0.7292757066400407,-0.21722851959508901,0.20827164214992008,0.2072937868146625,0.04430142593461464,13.860223054885864,13.647301435470581
25,92,10,digital_ok,0.0,0.0,0.0,0.0,0.0,1.0,-0.5349340015428575,0.6563522376917034,0.4753857732993112,1.3743542810187295,-0.7587764227886822,-0.6406037775565353,1.1908552958855618,0.5256542199300643,0.6802270707536527,0.6851678048335189,0.33167331301056735,13.51670217514038,15.465649366378784
26,93,10,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,15.284370684381884,17.024311084225406,36.7681489584313,39.27636925495108,9.792369389334114,7.247729817581628,1.0364389135173644,1.5089016125561345,0.10710892162665087,0.06101197057030614,0.035793308856732736,1.710425615310669,1.3315270841121674
27,94,10,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,0.3156320169940489,-1.3564707616899725,-0.8052432096153712,-1.0524686818665223,0.5625849118866523,10.398246686820626,3.3995401050202463,0.7082389907023661,0.6583331760809518,0.6673258150731818,0.34423557625203155,5.733341693878174,5.260133385658264
28,98,7,digital_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,18.435874010694924,20.633462169650866,33.26089264880799,34.58186837247692,12.107230837300127,8.53877774918001,1.1811920444367274,0.961426195398557,0.05824901201788891,0.044761132079641844,0.01230529420626031,7.30379593372345,2.0418225526809692
29,99,7,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,0.23958304980375655,-0.3820579660582187,-0.8487326826177773,0.4382234619954364,-0.22098577874064418,0.6849377754933947,0.4038558577763613,1.4773364731209788,0.0653276455045547,0.05580755025509372,0.004537580056396607,3.036694288253784,1.1706793010234833
30,100,7,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,3.303314842336764,18.006899623084472,0.3259266625967208,34.570666098764825,0.9459834909068092,6.94671485515401,2.375007460962536,1.1480111814455416,0.05907956890088746,0.056633021839737584,0.029724162818244967,29.443570613861084,3.48762047290802
31,101,8,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,-0.37392195878338397,-0.5746305672814517,-0.016801470314964255,-0.9488204403756487,-0.17266606567368367,-0.2246687728565746,1.7882896310151493,-0.7335408388730085,0.6711685741369585,0.6874704920602861,0.32950421333940394,6.957439184188843,7.249257564544678
32,102,8,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.38864615686802817,0.6872097967474203,1.431059721174742,-0.46931925688381565,1.20426197178536,-0.8269983016802279,3.942237002640297,-0.600130315322324,0.6875549672943878,0.7092039450892119,0.33860079251758984,1.7847511172294617,1.488712638616562
33,103,8,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.6764126335437627,0.6076252497642961,-0.002324374349885816,1.2021607971089876,1.7687389309503212,0.033181868059158584,-0.589956756298121,-0.6998079641298687,0.693048601836787,0.7153660857606915,0.33518556667409327,1.9888674914836884,1.7185722291469574
34,104,8,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,9.804159563883246,8.450735885179558,9.05703791874104,7.066800872030632,6.935034081712048,13.908335631653012,23.782142732951108,36.570514463973915,0.5871368049337368,0.6325053772185308,0.30942737125253555,3.110557973384857,3.7631192803382874
35,105,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.2151675901360576,1.2908517267408754,-0.7431530626885814,2.743663894939562,-0.7642968932481913,-0.621468717920487,-0.7526984284838281,0.35675495012885244,0.17520753055457156,0.16869669258930084,0.027044088469708044,1.3076589107513428,1.3022295534610748
36,106,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,1.3791711417512935,0.9038488557502904,0.9628889707902862,0.9502095873932889,-0.338962302815337,-0.6764791356118692,-0.06039404534250923,0.8498737020249786,0.1253328100931741,0.12884390298482143,0.012547323213117313,123.34581756591797,144.8138198852539
37,107,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,1.7866138540034688,0.32222872047410667,0.5677311560685613,0.4733059199181804,-0.20753469326782384,-0.7049168188376876,1.4194260028964776,1.0495493654669512,0.09465627665118492,0.13308901452298025,0.00684602784495738,33.91859149932861,58.55825996398926
38,108,9,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.4920291244011605,3.7816242164088476,-0.9270667363889662,-0.6621375061032406,-0.7100837897304318,-0.3624595969682757,-0.3925964205043932,-0.4242112875189909,0.20185399466584375,0.19752368499653955,0.041253989087024594,65.2483959197998,83.79512596130371
39,109,10,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,2.1437378739074067,0.9473521238260288,4.450976833916031,1.8891319212200697,3.7086790142083337,3.5012637771132984,-0.008146706832740705,0.21322934037208965,0.6820645979738449,0.6972464032171233,0.3341959667090542,10.963634252548218,8.16411805152893
40,110,10,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,10.19359142120728,20.994025789462142,12.679404866537949,0.748727874920536,6.908177686262715,40.77318481312227,18.248095086386847,151.22102109466738,0.5482868353264764,0.6148572674992971,0.2975897693867584,8.964764833450317,17.916481971740723
41,111,10,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.13566184647675247,-0.3332254531352313,-0.4951601210604064,-0.8372046098159082,0.4480703088890508,1.2380770249250759,-0.6095897441629352,1.5702589621896739,0.6621308738901199,0.6810802218556715,0.33104933082444216,1.2766430079936981,1.2788362205028534
42,112,10,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,0.5214791402046127,-0.6519451541571086,0.03592190725011471,0.647018403396343,-0.44654451216723257,2.4476411488188554,1.445229932828179,-0.06323098202773358,0.6424402825325607,0.665212661913506,0.35780120067465315,8.269797801971436,9.479739427566528
43,116,7,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,19.731968733508825,20.378262263401037,35.25258471987581,36.520618201350025,10.164705096353785,7.171254853053607,0.7007944379302579,1.0552782032737686,0.045359565041742,0.04296524255733264,-0.0026672170989042133,1.9251811502726517e-16,1.0568282348434503e-16
