,Ant,Node,A Priori Status,Auto Metrics Flags,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score
0,45,5,RF_maintenance,1.0,,,,,,,,
1,46,5,digital_ok,0.0,,,,,,,,
2,73,5,RF_maintenance,0.0,,,,,,,,
3,81,7,digital_ok,0.0,,,,,,,,
4,82,7,RF_maintenance,0.0,,,,,,,,
5,83,7,digital_ok,1.0,,,,,,,,
6,88,9,digital_ok,0.0,,,,,,,,
7,90,9,RF_maintenance,0.0,,,,,,,,
8,91,9,digital_ok,0.0,,,,,,,,
9,92,10,digital_ok,0.0,,,,,,,,
10,93,10,RF_maintenance,1.0,,,,,,,,
11,94,10,RF_maintenance,0.0,,,,,,,,
12,98,7,digital_maintenance,1.0,,,,,,,,
13,99,7,digital_ok,0.0,,,,,,,,
14,100,7,RF_maintenance,1.0,,,,,,,,
15,105,9,digital_ok,0.0,,,,,,,,
16,106,9,digital_ok,0.0,,,,,,,,
17,107,9,digital_ok,0.0,,,,,,,,
18,108,9,digital_ok,0.0,,,,,,,,
19,109,10,digital_ok,0.0,,,,,,,,
20,110,10,RF_maintenance,0.0,,,,,,,,
21,111,10,digital_ok,0.0,,,,,,,,
22,112,10,RF_maintenance,0.0,,,,,,,,
23,116,7,RF_maintenance,1.0,,,,,,,,
24,119,7,RF_maintenance,1.0,,,,,,,,
25,125,9,RF_maintenance,0.0,,,,,,,,
26,126,9,RF_maintenance,0.0,,,,,,,,
27,127,10,RF_maintenance,1.0,,,,,,,,
28,128,10,digital_ok,0.0,,,,,,,,
29,129,10,digital_ok,0.0,,,,,,,,
30,130,10,digital_maintenance,0.0,,,,,,,,
31,135,12,digital_ok,1.0,,,,,,,,
32,136,12,RF_maintenance,1.0,,,,,,,,
33,138,7,digital_ok,0.0,,,,,,,,
34,155,12,RF_maintenance,1.0,,,,,,,,
35,156,12,RF_maintenance,1.0,,,,,,,,
36,157,12,RF_maintenance,1.0,,,,,,,,
37,158,12,RF_maintenance,1.0,,,,,,,,
38,176,12,digital_ok,1.0,,,,,,,,
39,177,12,digital_ok,1.0,,,,,,,,
40,178,12,digital_ok,1.0,,,,,,,,
41,179,12,digital_ok,1.0,,,,,,,,
